,,,,,,,,,,
,File Failures Bicycle,,,,,,,,,
,As of 2025-03-26 17:17:25 Eastern Standard Time/EST • Generated by William Henn • Sorted by Account Name (Ascending),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Filtered By,,,,,,,,,
,Date Field: Opened Date equals Custom (2/26/2025 to 3/26/2025),,,,,,,,,
,Show: All cases,,,,,,,,,
,Units: Days,,,,,,,,,
,,,,,,,,,,
,Case Number,,Account Name,CSR ID,Category,Subcategory,Subject,Date/Time Opened,Date/Time Closed,Case Comments
,04031087,,"A. N. Deringer, Inc.",960,File Failure-Customer caused,Unexpected data,"[Email Loop Protection] 960, ANDERINGER, BatchId: 30440285, FailureType: TaskType=2",3/12/2025 11:47 AM,3/17/2025 2:11 PM,"[Recipients: Donald Cutting]

Good afternoon,

Batch ID: 30440285 failed due to invalid tif file '0252126497BL000006.TIF' within the data folder 'deringer_inv_03122025.zip'.
Please revise this tif file and resubmit the complete zip folder 'deringer_inv_03122025.zip' for further processing.

Regards,"
,04020102,,"ABC Supply Company, Inc.",1034,File Failure-Billtrust caused,System,"1034, ABCSUPPLY, BatchId: 30368063, FailureType: TaskType=2",3/1/2025 3:52 AM,3/1/2025 6:29 AM,"[Recipients: Bill Kieckhaefer, katie.murray@abcsupply.com, benjamin.applebeck@abcsupply.com, david.brotkowski@abcsupply.com, joseph.harrod@abcsupply.com, marlene.ramirez@abcsupply.com, tracey.mueller@abcsupply.com]

Hello Team,

Please disregard this failure as we were able to correct an internal issue and reprocess the file and it get process under the batch id 30369299. If there is any further issue will notify you.

Regards,"
,04023381,,"ABC Supply Company, Inc.",1034,File Failure-Billtrust caused,System,"1034, ABCSUPPLY, BatchId: 30401153, FailureType: TaskType=64",3/6/2025 5:06 AM,3/6/2025 5:25 AM,"Hello Team,

Restaged the batch via print station.

Regards,"
,04017575,,ABC TRANSPORTATION DEMO,4917,File Failure-Billtrust caused,System,"4917, TRANSPORTATIONDEMO, BatchId: 30341695, FailureType: TaskType=16",2/26/2025 3:47 AM,2/26/2025 3:52 AM,restaged
,04024934,,ABC TRANSPORTATION DEMO,4917,File Failure-Billtrust caused,System,"4917, TRANSPORTATIONDEMO, BatchId: 30409261, FailureType: TaskType=16",3/7/2025 3:54 AM,3/7/2025 3:56 AM,deleted
,04035856,,ABC TRANSPORTATION DEMO,4917,File Failure-Billtrust caused,System,"4917, TRANSPORTATIONDEMO, BatchId: 30482551, FailureType: TaskType=16",3/19/2025 1:52 AM,3/19/2025 2:02 AM,restaged
,04036739,,ABC TRANSPORTATION DEMO,4917,File Failure-Billtrust caused,System,"4917, TRANSPORTATIONDEMO, BatchId: 30491645, FailureType: TaskType=16",3/20/2025 3:58 AM,3/20/2025 4:04 AM,restaged
,04033361,,"Abel Womack, Inc.",2483,File Failure-Customer caused,Incomplete file,"2483, ABELWOMACK, BatchId: 30457991, FailureType: TaskType=4",3/14/2025 4:18 PM,3/14/2025 4:37 PM,"[Recipients: Gary Ryum, btnotices@abelwomack.com, mhopper@abelwomack.com, ddearmon@abelwomack.com]

Good Afternoon,

Batch 30457991 has failed because the job only contained a lookup file, specifically ""abelwomack_lookup_2025_03_13.txt"". Additional files are required for processing, therefore we are deleting this failed job.

If you wish for this lookup file to process alongside other files then please resubmit them all together. If there is no need for this lookup file to run than no additional action is required at this time.

Regards,"
,04034739,,"Abel Womack, Inc.",2483,File Failure-Customer caused,Incomplete file,"2483, ABELWOMACK, BatchId: 30470841, FailureType: TaskType=4",3/17/2025 4:20 PM,3/17/2025 4:35 PM,"[Recipients: Gary Ryum, btnotices@abelwomack.com, mhopper@abelwomack.com, ddearmon@abelwomack.com]

Good Afternoon,

Batch 30470841 has failed because the job only contained a lookup file, specifically ""abelwomack_lookup_2025_03_13.txt"". Additional files are required for processing, therefore we are deleting this failed job.

If you wish for this lookup file to process alongside other files then please resubmit them all together. If there is no need for this lookup file to run than no additional action is required at this time.

Regards,"
,04030290,,ACCO Brands Corporation,2733,File Failure-Billtrust caused,System,"2733, ACCO, BatchId: 30436333, FailureType: TaskType=2",3/12/2025 12:50 AM,3/12/2025 1:10 AM,"[Recipients: sean.walker@acco.com]

Hello,

Please disregard this failure notification. This job completed successfully under batch 30436331.

Regards,"
,04030307,,ACCO Brands Corporation,2733,File Failure-Billtrust caused,System,"2733, ACCO, BatchId: 30436523, FailureType: TaskType=2",3/12/2025 1:20 AM,3/12/2025 1:29 AM,"[Recipients: completebilling@billtrust.com, sean.walker@acco.com]

Hello,

Please disregard this failure notification. This job completed successfully under batch 30436521.

Regards,"
,04031216,,ACCO Brands Corporation,2733,File Failure-Billtrust caused,System,"2733, ACCO, BatchId: 30440935, FailureType: TaskType=2",3/12/2025 1:22 PM,3/12/2025 1:50 PM,"[Recipients: sean.walker@acco.com]

Hello,

Please disregard the failure notification for Batch 30440935. This was caused by an internal error, we have processed your data successfully under the BatchID 30440933.

Regards,"
,04018034,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Unexpected data,"1213, ACTIONCARTING, BatchId: 30345763, FailureType: TaskType=4",2/26/2025 2:22 PM,2/26/2025 3:17 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: Actioncarting_jobfail_02262025.png]

Good Afternoon,

Batch 30345763 has failed due to an issue found in the file ""ACTION_MONTH_INV_02-26-25FALSO.CSV"". Please refer to attached screenshot where you will see that there is a break at line 1057 which is creating an invalid record. Please revise your file and then resubmit.

Regards,"
,04018169,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Shifted data,"1213, ACTIONCARTING, BatchId: 30346299, FailureType: TaskType=4",2/26/2025 4:34 PM,3/3/2025 5:13 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: ACTIONCARTING, BatchId 30346299 2025-02-26.png]

Good Evening,

Batch ID: 30346299 failed due to shifted data present on line 52570-52571 and 52575-52576 in the file 'action_month_inv_2-26-25acnj.csv'. Please see attached screenshot, revise, and resubmit the file for processing. The remaining valid files 'action_month_inv_02-26-25sol143.csv' and 'action_month_inv_2-26-25acny.csv' have been restaged as Batch ID: 30346525

Regards,"
,04018237,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Shifted data,"1213, ACTIONCARTING, BatchId: 30346839, FailureType: TaskType=4",2/26/2025 6:30 PM,3/3/2025 8:24 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: ActionCarting.PNG]

Hello,

Batch ID: 30346839 failed due to shifted data present on line 92729-92730 and 92734-92735 in the file 'ACTION_MONTH_INV_2-26-25ACNJ.CSV'. See attached screenshot. Please revise, and resubmit the file for processing. 

Regards,"
,04025834,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Shifted data,"1213, ACTIONCARTING, BatchId: 30413139, FailureType: TaskType=4",3/7/2025 3:25 PM,3/7/2025 3:58 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: actioncarting_error.JPG]

Hello,

Batch ID: 30413139 failed due to shifted data present on line 15218 in the file 'ACTION_BIM_INV_02-28-25ACNJNY.CSV'. Please see attached screenshot, revise, and resubmit the file for processing. 
The remaining valid files 'action_bim_inv_02-28-25sol143' have been restaged under Batch ID: 30413319 

Regards,"
,04025869,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Shifted data,"1213, ACTIONCARTING, BatchId: 30413319, FailureType: TaskType=4",3/7/2025 3:54 PM,3/7/2025 4:09 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: Costar_error.JPG]

Hello,

Batch ID: 30413319 failed due to shifted data present on line 13457 in the file 'action_bim_inv_02-28-25ac.CSV'. Please see attached screenshot, revise, and resubmit the file for processing.
The remaining valid files 'action_bim_inv_02-28-25sol143' have been restaged under Batch ID: 30413373

Regards,"
,04025962,,"Action Environmental Services, Inc.",1213,File Failure-Customer caused,Unexpected data,"1213, ACTIONCARTING, BatchId: 30413587, FailureType: TaskType=4",3/7/2025 4:58 PM,3/12/2025 6:45 PM,"[Recipients: Sandra Capelo, scapelo@actioncarting.com, scapelo@interstatewaste.com, lmagro@actioncarting.com, lzurichin@interstatewaste.com]
[Attachments: ACTIONCARTING, BatchId 30413587 2025-03-07_3.png, ACTIONCARTING, BatchId 30413587 2025-03-07_2.png, ACTIONCARTING, BatchId 30413587 2025-03-07.png]

Hello,

Batch ID: 30413587 failed due to shifted data present on lines 26452-26453, 26845 - 26846, and 27057 - 27058 in the file 'ACTION_BIM_INV_02-28-25AC.CSV'. Please see attached screenshot, revise, and resubmit the file for processing.

Regards,"
